city,country,date,lat,lon,max_temp,humidity,cloudiness,wind_speed
Río Gallegos,AR,1631344650,-51.6226,-69.2181,0.03,74,0,4.12
Barrow,US,1631344872,71.2906,-156.7887,3.01,87,90,5.14
Vanimo,PG,1631344873,-2.6741,141.3028,28.9,70,6,4.01
Port Elizabeth,ZA,1631344759,-33.918,25.5701,19.16,63,0,2.06
Dryden,CA,1631344875,49.7833,-92.7503,14.16,94,90,3.09
Phimai,TH,1631344876,15.2232,102.4947,30.46,70,96,5.7
Turochak,RU,1631344877,52.2576,87.1224,15.91,44,100,3.56
Soubre,CI,1631344878,5.7856,-6.6083,21.51,94,98,0.63
Tautira,PF,1631344879,-17.7333,-149.15,23.01,72,96,5.72
Tuatapere,NZ,1631344879,-46.1333,167.6833,8.23,89,95,2.08
Caravelas,BR,1631344880,-17.7125,-39.2481,21.24,94,4,2.35
Vărşag,RO,1631344881,46.5167,25.35,17.06,45,100,0.26
Elizabeth City,US,1631344882,36.2946,-76.2511,20.01,95,1,0.0
Rocha,UY,1631344883,-34.4833,-54.3333,11.44,96,92,3.42
Tuktoyaktuk,CA,1631344884,69.4541,-133.0374,7.95,69,100,8.01
Chokurdakh,RU,1631344885,70.6333,147.9167,4.83,61,100,4.47
Kuril'sk,RU,1631344886,45.2333,147.8833,14.07,88,86,4.94
Yellowknife,CA,1631344799,62.456,-114.3525,7.29,93,20,5.14
Fukuechō,JP,1631344887,32.6881,128.8419,25.2,88,75,2.57
Chicama,PE,1631344888,-7.8447,-79.1469,17.79,84,100,1.98
Bengkulu,ID,1631344889,-3.8004,102.2655,29.13,69,27,5.26
Provideniya,RU,1631344890,64.3833,-173.3,4.39,98,100,5.54
Capão da Canoa,BR,1631344891,-29.7456,-50.0097,15.72,70,80,3.17
Shubarshi,KZ,1631344891,48.5872,57.1869,16.74,70,100,5.54
Laviana,ES,1631344892,43.2333,-5.5333,15.75,76,98,1.64
Kiryat Gat,IL,1631344893,31.61,34.7642,28.38,4,68,4.3
San Diego de la Unión,MX,1631344894,21.4667,-100.8667,13.44,93,99,2.15
Yurimaguas,PE,1631344895,-5.9,-76.0833,21.94,100,100,1.08
Hithadhoo,MV,1631344895,-0.6,73.0833,28.57,69,13,2.2
Constitución,CL,1631344896,-35.3333,-72.4167,11.56,94,100,2.8
Trat,TH,1631344897,12.5,102.5,30.11,97,100,2.05
Örnsköldsvik,SE,1631344898,63.2909,18.7153,11.9,100,90,3.09
Sampang,ID,1631344899,-7.1872,113.2394,31.97,61,100,3.95
Guntakal,IN,1631344900,15.1667,77.3833,28.97,59,100,8.4
Bambous Virieux,MU,1631344901,-20.3428,57.7575,24.56,69,75,7.2
Port Alfred,ZA,1631344901,-33.5906,26.891,24.47,53,1,0.29
Gizo Government Station,SB,1631344902,-8.103,156.8419,27.99,78,65,4.63
Lüderitz,NA,1631344903,-26.6481,15.1594,16.26,64,0,5.09
Albany,US,1631344904,42.6001,-73.9662,12.39,93,2,1.62
Ouadda,CF,1631344904,8.0777,22.4007,21.47,94,100,0.31
Höganäs,SE,1631344905,56.1997,12.558,18.22,93,100,3.35
